sol_irr,T_amb,wind_pow
0,8.3,0.257
0,7.8,0.272
0,6.1,0.255
0,4.4,0.22
0,-0.6,0.179
0,-2.2,0.138
0,-2.2,0.108
0,-2.8,0.083
0,-3.9,0.068
0,-3.9,0.061
0,-2.2,0.064
0,-1.7,0.074
0.007,-1.1,0.092
0.248,-1.1,0.111
0.476,-2.2,0.112
0.641,-5.6,0.117
0.748,-3.9,0.117
0.802,-2.2,0.107
0.808,-2.2,0.094
0.766,-1.1,0.083
0.67,1.1,0.073
0.517,2.8,0.067
0.3,3.9,0.066
0.057,4.4,0.088
0,5,0.127
0,5,0.141
0,4.4,0.147
0,3.9,0.151
0,3.3,0.159
0,2.2,0.162
0,0,0.173
0,0,0.192
0,0.6,0.208
0,-1.1,0.226
0,-1.7,0.249
0,-1.7,0.264
0.011,-0.6,0.286
0.282,-5.6,0.305
0.498,-5.6,0.311
0.658,-5,0.305
0.763,-5,0.285
0.816,-6.1,0.276
0.82,-2.2,0.253
0.776,0.6,0.231
0.68,1.7,0.225
0.528,2.8,0.233
0.313,3.3,0.231
0.063,4.4,0.227
0,5,0.254
0,5,0.258
0,3.3,0.252
0,0.6,0.222
0,-2.2,0.171
0,-2.8,0.124
0,-3.9,0.118
0,-4.4,0.136
0,-5,0.152
0,-7.2,0.163
0,-6.1,0.191
0,-5.6,0.22
0.009,-5.6,0.233
0.227,-6.1,0.181
0.439,-6.7,0.113
0.637,-7.8,0.083
0.673,-8.9,0.082
0.734,-6.7,0.085
0.794,-2.2,0.076
0.737,-1.7,0.078
0.644,1.7,0.101
0.496,3.9,0.117
0.285,5.6,0.121
0.054,6.7,0.146
0,6.1,0.182
0,6.1,0.199
0,4.4,0.2
0,3.9,0.212
0,3.3,0.233
0,3.9,0.243
0,3.3,0.234
0,3.9,0.206
0,3.9,0.192
0,4.4,0.185
0,5,0.176
0,5,0.164
0.004,5,0.172
0.149,5,0.194
0.344,2.2,0.225
0.56,1.7,0.256
0.703,0.6,0.288
0.77,1.1,0.329
0.782,1.7,0.368
0.742,2.8,0.398
0.648,3.9,0.413
0.498,3.9,0.414
0.281,5.6,0.413
0.049,4.4,0.398
0,5.6,0.364
0,5.6,0.343
0,5,0.347
0,4.4,0.358
0,4.4,0.38
0,5,0.403
0,5,0.432
0,6.7,0.468
0,6.7,0.484
0,6.7,0.464
0,6.1,0.419
0,6.7,0.392
0.005,6.7,0.41
0.168,6.7,0.41
0.362,6.7,0.413
0.533,7.2,0.401
0.664,7.2,0.403
0.745,7.2,0.413
0.737,7.2,0.408
0.66,8.3,0.379
0.546,7.8,0.335
0.389,8.9,0.334
0.192,8.3,0.376
0.035,7.2,0.417
0,6.7,0.422
0,6.7,0.404
0,6.1,0.39
0,6.1,0.372
0,6.1,0.344
0,5.6,0.31
0,5.6,0.252
0,5.6,0.2
0,5.6,0.212
0,5.6,0.395
0,5,0.636
0,5.6,0.757
0.003,7.2,0.777
0.142,7.8,0.761
0.368,8.3,0.749
0.553,8.3,0.687
0.697,8.3,0.597
0.751,8.9,0.509
0.75,9.4,0.422
0.706,10,0.362
0.604,10.6,0.341
0.444,10.6,0.333
0.23,11.1,0.348
0.034,11.7,0.391
0,11.7,0.429
0,12.2,0.446
0,12.2,0.464
0,11.7,0.454
0,11.7,0.385
0,11.7,0.341
0,11.7,0.376
0,12.2,0.472
0,12.2,0.538
0,12.2,0.552
0,12.2,0.537
0,12.2,0.502
0.009,11.7,0.432
0.242,11.1,0.284
0.471,11.1,0.155
0.635,11.1,0.132
0.729,11.1,0.049
0.786,11.7,0.013
0.791,12.2,0.003
0.746,11.1,0.001
0.647,11.7,0
0.489,11.7,0
0.271,11.7,0.002
0.046,11.7,0.025
0,12.8,0.079
0,12.8,0.118
0,12.2,0.124
0,11.7,0.104
0,11.7,0.072
0,11.7,0.041
0,11.1,0.018
0,11.7,0.006
0,11.7,0.001
0,11.1,0
0,11.1,0
0,11.7,0.001
0.009,11.1,0.001
0.236,11.7,0.001
0.46,11.1,0.003
0.627,10.6,0.008
0.735,11.7,0.018
0.79,11.1,0.033
0.796,10,0.056
0.751,10,0.084
0.656,10.6,0.118
0.504,11.7,0.167
0.291,12.2,0.233
0.057,11.7,0.294
0,11.7,0.338
0,11.1,0.317
0,11.7,0.294
0,11.1,0.285
0,10,0.256
0,10,0.191
0,10,0.139
0,9.4,0.105
0,9.4,0.08
0,9.4,0.058
0,9.4,0.047
0,9.4,0.045
0.012,10,0.056
0.26,10,0.073
0.479,10,0.085
0.642,10,0.091
0.747,9.4,0.079
0.8,9.4,0.053
0.805,11.1,0.03
0.761,11.1,0.018
0.666,11.1,0.026
0.515,12.2,0.047
0.305,12.2,0.073
0.064,12.2,0.119
0,12.2,0.192
0,12.2,0.241
0,10.6,0.265
0,10.6,0.27
0,10.6,0.27
0,10.6,0.283
0,10.6,0.313
0,10,0.329
0,10,0.328
0,10,0.325
0,10,0.306
0,10,0.274
0.013,10,0.243
0.258,9.4,0.219
0.478,9.4,0.197
0.639,9.4,0.186
0.743,8.9,0.191
0.796,9.4,0.208
0.8,10,0.23
0.754,10,0.231
0.661,10.6,0.221
0.51,12.2,0.218
0.299,12.2,0.217
0.062,12.2,0.22
0,10,0.235
0,10,0.235
0,7.8,0.248
0,7.8,0.272
0,6.7,0.31
0,3.9,0.362
0,3.3,0.416
0,3.3,0.43
0,0.6,0.402
0,0.6,0.358
0,-0.6,0.305
0,0.6,0.243
0.007,1.7,0.189
0.163,1.7,0.133
0.376,1.7,0.107
0.582,3.3,0.097
0.712,5,0.098
0.773,6.1,0.096
0.777,5.6,0.092
0.732,6.7,0.088
0.635,7.2,0.079
0.48,7.8,0.07
0.268,8.3,0.091
0.048,8.9,0.172
0,8.9,0.278
0,9.4,0.309
0,8.9,0.314
0,8.9,0.327
0,8.9,0.34
0,7.8,0.357
0,8.9,0.352
0,8.9,0.309
0,8.9,0.255
0,8.9,0.202
0,8.9,0.148
0,8.3,0.099
0.008,9.4,0.063
0.191,8.9,0.039
0.413,10,0.057
0.583,10,0.093
