sol_irr,T_amb,wind_pow
0.622,2.2,0.401
0.71,3.9,0.43
0.738,4.4,0.269
0.715,5.6,0.137
0.63,5.6,0.057
0.483,5.6,0.019
0.268,5,0.012
0.069,0.6,0.08
0,-0.6,0.23
0,-1.1,0.365
0,-1.7,0.449
0,-1.1,0.496
0,-1.7,0.488
0,-2.8,0.439
0,-3.3,0.398
0,-2.8,0.379
0,-2.2,0.366
0,-1.7,0.412
0,-1.7,0.508
0,-2.2,0.593
0,-2.2,0.639
0.01,-2.2,0.663
0.182,-1.1,0.59
0.408,1.1,0.405
0.578,2.2,0.316
0.676,4.4,0.355
0.687,6.1,0.285
0.664,6.7,0.184
0.589,7.2,0.101
0.473,6.7,0.04
0.279,5.6,0.032
0.075,3.3,0.17
0,0,0.358
0,-1.1,0.457
0,-2.8,0.483
0,-2.8,0.466
0,-2.8,0.425
0,-3.9,0.393
0,-4.4,0.379
0,-5.6,0.395
0,-5,0.442
0,-6.7,0.519
0,-6.7,0.581
0,-5.6,0.63
0,-6.7,0.669
0.005,-6.1,0.684
0.096,-3.9,0.625
0.306,-0.6,0.479
0.537,3.9,0.414
0.661,5,0.584
0.714,6.7,0.606
0.689,7.8,0.467
0.608,8.3,0.305
0.483,7.8,0.206
0.284,6.1,0.141
0.078,4.4,0.12
0,-0.6,0.152
0,-2.2,0.249
0,-2.2,0.42
0,-2.8,0.615
0,-3.9,0.748
0,-3.9,0.812
0,-2.2,0.832
0,-1.7,0.833
0,-1.1,0.827
0,-1.1,0.822
0,-2.2,0.822
0,-5.6,0.824
0,-3.9,0.823
0.009,-2.2,0.815
0.125,-2.2,0.766
0.303,-1.1,0.69
0.48,1.1,0.766
0.599,2.8,0.855
0.673,3.9,0.855
0.668,4.4,0.808
0.593,5,0.746
0.429,5,0.686
0.246,4.4,0.601
0.07,3.9,0.579
0,3.3,0.652
0,2.2,0.741
0,0,0.815
0,0,0.84
0,0.6,0.837
0,-1.1,0.827
0,-1.7,0.816
0,-1.7,0.811
0,-0.6,0.813
0,-5.6,0.82
0,-5.6,0.828
0,-5,0.834
0,-5,0.841
0.013,-6.1,0.841
0.186,-2.2,0.809
0.408,0.6,0.765
0.549,1.7,0.839
0.585,2.8,0.829
0.534,3.3,0.727
0.5,4.4,0.569
0.443,5,0.416
0.362,5,0.297
0.237,3.3,0.201
0.076,0.6,0.181
0,-2.2,0.253
0,-2.8,0.407
0,-3.9,0.578
0,-4.4,0.697
0,-5,0.764
0,-7.2,0.79
0,-6.1,0.792
0,-5.6,0.788
0,-5.6,0.785
0,-6.1,0.792
0,-6.7,0.804
0,-7.8,0.808
0,-8.9,0.804
0.017,-6.7,0.788
0.228,-2.2,0.697
0.432,-1.7,0.595
0.549,1.7,0.639
0.654,3.9,0.537
0.717,5.6,0.33
0.684,6.7,0.175
0.633,6.1,0.114
0.536,6.1,0.099
0.35,4.4,0.094
0.117,3.9,0.119
0,3.3,0.163
0,3.9,0.192
0,3.3,0.209
0,3.9,0.249
0,3.9,0.294
0,4.4,0.305
0,5,0.291
0,5,0.276
0,5,0.262
0,5,0.242
